FOLIO,cuenta,N_REN,SEXO,EDAD,PC3_2,ENT,ESC,FACTOR
19525,1,2,1,26,6,30,0,2310
19525,1,1,1,8,6,30,0,2310
19541,1,1,2,3,3,29,0,333
19566,1,1,1,3,3,5,0,2168
19580,1,1,2,3,3,32,0,737
19589,1,1,1,3,5,5,0,1719
19604,1,1,1,4,1,32,0,344
19615,1,1,2,3,3,29,0,330
19617,1,1,1,3,3,18,0,839
19624,1,1,1,3,11,18,0,416
19658,1,1,1,4,3,14,0,5781
19676,1,1,2,4,3,16,0,3364
19746,1,2,2,4,1,4,0,231
19746,1,1,1,3,6,4,0,231
19749,1,1,1,3,1,16,0,5472
19780,1,8,1,25,6,12,0,14517
19780,1,2,2,5,1,12,0,14517
19780,1,1,1,3,1,12,0,14517
19848,1,1,1,4,3,25,0,846
19858,1,1,2,3,3,15,0,6006
19859,1,1,1,3,3,16,0,1283
19870,1,1,1,3,3,25,0,1303
19894,1,2,2,3,3,15,0,22484
19963,1,1,2,22,6,32,0,397
